month,bidding_no,vehicle_class,quota,bids_success,bids_received,premium,cat,date,year,t,ln_p,ln_q,oversub,d_ln_p,d_ln_q,ln_p_lag
2025-05,2,Category D,534,532,655,8707,D,2025-05-15,2025,15.375,9.071882578828616,6.280395838960195,1.2265917602996255,-0.0002296738641245355,-0.003738322110606873,9.07211225269274
2025-06,1,Category D,538,538,631,9000,D,2025-06-01,2025,15.416666666666666,9.104979856318357,6.2878585601617845,1.1728624535315986,0.03309727748974112,0.007462721201589417,9.071882578828616
2025-06,2,Category D,535,528,605,8600,D,2025-06-15,2025,15.458333333333332,9.0595174822416,6.282266746896006,1.1308411214953271,-0.04546237407675768,-0.005591813265778178,9.104979856318357
2025-07,1,Category D,533,533,629,9389,D,2025-07-01,2025,15.5,9.147294070258548,6.278521424165844,1.1801125703564728,0.08777658801694876,-0.0037453227301620373,9.0595174822416
2025-07,2,Category D,540,534,622,9511,D,2025-07-15,2025,15.541666666666666,9.160204302482386,6.29156913955832,1.151851851851852,0.012910232223838136,0.013047715392476178,9.147294070258548
2025-08,1,Category D,533,526,633,9189,D,2025-08-01,2025,15.583333333333334,9.125762395500885,6.278521424165844,1.1876172607879925,-0.034441906981500736,-0.013047715392476178,9.160204302482386
2025-08,2,Category D,540,535,654,8809,D,2025-08-15,2025,15.625,9.083529205109796,6.29156913955832,1.211111111111111,-0.04223319039108908,0.013047715392476178,9.125762395500885
2025-09,1,Category D,540,540,633,9101,D,2025-09-01,2025,15.666666666666666,9.116139576577355,6.29156913955832,1.1722222222222223,0.03261037146755896,0.0,9.083529205109796
2025-09,2,Category D,539,539,617,9209,D,2025-09-15,2025,15.708333333333332,9.127936545721367,6.289715570908998,1.1447124304267162,0.011796969144011626,-0.0018535686493228454,9.116139576577355
2025-10,1,Category D,533,528,630,9810,D,2025-10-01,2025,15.75,9.191157552559408,6.278521424165844,1.1819887429643527,0.06322100683804166,-0.011194146743153333,9.127936545721367
2025-10,2,Category D,533,528,598,9389,D,2025-10-15,2025,15.791666666666666,9.147294070258548,6.278521424165844,1.1219512195121952,-0.04386348230086057,0.0,9.191157552559408
2025-11,1,Category D,538,537,631,8600,D,2025-11-01,2025,15.833333333333334,9.0595174822416,6.2878585601617845,1.1728624535315986,-0.08777658801694876,0.009337135995940216,9.147294070258548
